Sp.Scien.jetz,Sp.Eng.jetz,Sp.Scien.hbw,Sp.Eng.hbw,Match_jetz_birdlife,Order,strategy_3,distance_4,distance_quanti_RES0,distance_quanti_ALL
Clytorhynchus_sanctaecrucis,Santa-Cruz-Shrikebill,Clytorhynchus_nigrogularis,Black-faced-Shrikebill,Clytorhynchus_sanctaecrucis,PASSERIFORMES,resident,resident,0,4.55643904321157
Clytorhynchus_vitiensis,Fiji-Shrikebill,Clytorhynchus_vitiensis,Lesser-Shrikebill,Clytorhynchus_vitiensis,PASSERIFORMES,resident,resident,0,95.8136511220685
Clytospiza_monteiri,Brown-Twinspot,Clytospiza_monteiri,Brown-Twinspot,Clytospiza_monteiri,PASSERIFORMES,resident,resident,0,384.5209839667
Cnemarchus_erythropygius,Red-rumped-Bush-tyrant,Cnemarchus_erythropygius,Red-rumped-Bush-tyrant,Cnemarchus_erythropygius,PASSERIFORMES,resident,resident,0,185.22406141492
Cnemophilus_loriae,Lorias-Bird-of-paradise,Cnemophilus_loriae,Lorias-Bird-of-paradise,Cnemophilus_loriae,PASSERIFORMES,resident,resident,0,140.400831215817
Cnemophilus_macgregorii,Crested-Bird-of-paradise,Cnemophilus_macgregorii,Crested-Bird-of-paradise,Cnemophilus_macgregorii,PASSERIFORMES,resident,resident,0,94.1531925733319
Cnemoscopus_rubrirostris,Grey-hooded-Bush-Tanager,Cnemoscopus_rubrirostris,Grey-hooded-Bush-tanager,Cnemoscopus_rubrirostris,PASSERIFORMES,resident,resident,0,215.296391376103
Cnemotriccus_fuscatus,Fuscous-Flycatcher,Cnemotriccus_fuscatus,Fuscous-Flycatcher,Cnemotriccus_fuscatus,PASSERIFORMES,resident,resident,0,874.628041978706
Cnipodectes_subbrunneus,Brownish-Twistwing,Cnipodectes_subbrunneus,Brownish-Twistwing,Cnipodectes_subbrunneus,PASSERIFORMES,resident,resident,0,374.543480825239
Cnipodectes_superrufus,Rufous-Twistwing,Cnipodectes_superrufus,Rufous-Twistwing,Cnipodectes_superrufus,PASSERIFORMES,resident,resident,0,132.476527968454
Coccothraustes_abeillei,Hooded-Grosbeak,Hesperiphona_abeillei,Hooded-Grosbeak,Coccothraustes_abeillei,PASSERIFORMES,resident,resident,0,214.796527287219
Coccothraustes_coccothraustes,Hawfinch,Coccothraustes_coccothraustes,Hawfinch,Coccothraustes_coccothraustes,PASSERIFORMES,partial_mig,variable,1845.84947669902,1845.84947669902
Coccothraustes_vespertinus,Evening-Grosbeak,Hesperiphona_vespertina,Evening-Grosbeak,Coccothraustes_vespertinus,PASSERIFORMES,partial_mig,variable,996.139405331121,996.139405331121
Coccycolius_iris,Emerald-Starling,Lamprotornis_iris,Emerald-Starling,Coccycolius_iris,PASSERIFORMES,resident,resident,0,111.608764364908
Coccycua_cinerea,Ash-coloured-Cuckoo,Coccycua_cinerea,Ash-colored-Cuckoo,Coccycua_cinerea,CUCULIFORMES,strict_mig,variable,1132.27912345674,1132.27912345674
Coccycua_minuta,Little-Cuckoo,Coccycua_minuta,Little-Cuckoo,Coccycua_minuta,CUCULIFORMES,resident,resident,0,739.266389309968
Coccycua_pumila,Dwarf-Cuckoo,Coccycua_pumila,Dwarf-Cuckoo,Coccycua_pumila,CUCULIFORMES,resident,resident,0,225.16912132982
Coccyzus_americanus,Yellow-billed-Cuckoo,Coccyzus_americanus,Yellow-billed-Cuckoo,Coccyzus_americanus,CUCULIFORMES,strict_mig,long,4513.57396210951,4513.57396210951
Coccyzus_erythropthalmus,Black-billed-Cuckoo,Coccyzus_erythropthalmus,Black-billed-Cuckoo,Coccyzus_erythropthalmus,CUCULIFORMES,strict_mig,long,4656.04526645483,4656.04526645483
Coccyzus_euleri,Pearly-breasted-Cuckoo,Coccyzus_euleri,Pearly-breasted-Cuckoo,Coccyzus_euleri,CUCULIFORMES,resident,resident,0,763.97272857459
Coccyzus_ferrugineus,Cocos-Cuckoo,Coccyzus_ferrugineus,Cocos-Cuckoo,Coccyzus_ferrugineus,CUCULIFORMES,resident,resident,0,0
Coccyzus_lansbergi,Grey-capped-Cuckoo,Coccyzus_lansbergi,Grey-capped-Cuckoo,Coccyzus_lansbergi,CUCULIFORMES,resident,resident,0,169.271881645418
Coccyzus_longirostris,Hispaniolan-Lizard-cuckoo,Coccyzus_longirostris,Hispaniolan-Lizard-cuckoo,Coccyzus_longirostris,CUCULIFORMES,resident,resident,0,81.6865309382475
Coccyzus_melacoryphus,Dark-billed-Cuckoo,Coccyzus_melacoryphus,Dark-billed-Cuckoo,Coccyzus_melacoryphus,CUCULIFORMES,resident,resident,0,952.769969659351
Coccyzus_merlini,Great-Lizard-cuckoo,Coccyzus_merlini,Cuban-Lizard-cuckoo,Coccyzus_merlini,CUCULIFORMES,resident,resident,0,110.728283709428
Coccyzus_minor,Mangrove-Cuckoo,Coccyzus_minor,Mangrove-Cuckoo,Coccyzus_minor,CUCULIFORMES,resident,resident,0,738.104541086644
Coccyzus_pluvialis,Chestnut-bellied-Cuckoo,Coccyzus_pluvialis,Chestnut-bellied-Cuckoo,Coccyzus_pluvialis,CUCULIFORMES,resident,resident,0,35.2983442995488
Coccyzus_rufigularis,Bay-breasted-Cuckoo,Coccyzus_rufigularis,Bay-breasted-Cuckoo,Coccyzus_rufigularis,CUCULIFORMES,resident,resident,0,17.6366707861813
Coccyzus_vetula,Jamaican-Lizard-cuckoo,Coccyzus_vetula,Jamaican-Lizard-cuckoo,Coccyzus_vetula,CUCULIFORMES,resident,resident,0,35.2983442995488
Coccyzus_vieilloti,Puerto-Rican-Lizard-cuckoo,Coccyzus_vieilloti,Puerto-Rican-Lizard-cuckoo,Coccyzus_vieilloti,CUCULIFORMES,resident,resident,0,25.5242735392509
Cochlearius_cochlearius,Boat-billed-Heron,Cochlearius_cochlearius,Boat-billed-Heron,Cochlearius_cochlearius,PELECANIFORMES,resident,resident,0,896.629775273597
Cochoa_azurea,Javan-Cochoa,Cochoa_azurea,Javan-Cochoa,Cochoa_azurea,PASSERIFORMES,resident,resident,0,41.1697034880483
Cochoa_beccarii,Sumatran-Cochoa,Cochoa_beccarii,Sumatran-Cochoa,Cochoa_beccarii,PASSERIFORMES,resident,resident,0,112.117521003498
Cochoa_purpurea,Purple-Cochoa,Cochoa_purpurea,Purple-Cochoa,Cochoa_purpurea,PASSERIFORMES,resident,resident,0,231.749659186429
Cochoa_viridis,Green-Cochoa,Cochoa_viridis,Green-Cochoa,Cochoa_viridis,PASSERIFORMES,resident,resident,0,297.811768576167
Coeligena_bonapartei,Golden-bellied-Starfrontlet,Coeligena_bonapartei,Golden-bellied-Starfrontlet,Coeligena_bonapartei,CAPRIMULGIFORMES,resident,resident,0,41.2290350077887
